question,answer
如何查詢我的訂單狀態？,登入會員後前往「我的訂單」即可查看進度與物流資訊。
下單後可以修改或取消嗎？,訂單未出貨可聯繫客服修改或於「我的訂單」取消，出貨後恕無法變更。
為什麼訂單會被取消？,可能因庫存不足或付款失敗被系統自動取消，請確認付款或聯繫客服。
支援哪些付款方式？,信用卡（Visa/Master/JCB）、LINE Pay、Apple Pay、超商代碼與ATM轉帳。
付款失敗怎麼辦？,請確認卡號與餘額，或更換付款方式；仍有問題可聯繫客服。
出貨後多久會送達？,約 1–3 個工作天內送達，依物流狀況可能不同。
可以指定配送日期或週末收件嗎？,一般無法指定時段；多數物流週六配送，週日與國定假日暫停。
商品未收到但顯示已送達怎麼辦？,請先確認是否由管理室或家人代收，若仍未收到請立即聯絡客服與物流。
如何申請退貨？,收到商品 7 日內登入帳戶申請，依系統指示完成退貨流程。
退貨運費與退款如何處理？,因瑕疵或出貨錯誤運費由我們負擔；個人因素退貨需自付，退款約 7–10 個工作天完成。
可以用自然語言輸入需求嗎？,可以，例如「夏天通勤的白鞋」或「防潑水輕外套」，系統會理解語意並推薦相關商品。
支援哪些語言？,支援中英文等多語查詢；混合語言也可理解常見關鍵字。
搜尋結果如何排序？,依語意相似度為主，並可再依價格、熱銷、評分等條件切換排序。
可以加上篩選條件嗎？,可以，支援類別、價格區間、品牌等條件與語意搜尋同時使用。
輸入太模糊會怎樣？,會顯示最接近的結果；建議補充用途、情境或材質等關鍵字以提高精準度。
會不會學習我的偏好？,Demo 版不會持久化偏好；正式版可依據歷史瀏覽與購買行為做個人化調整。
能推薦相似商品嗎？,可以，系統會根據向量相似度顯示相似款與加購建議。
搜尋速度會不會很慢？,已做快取與向量化優化，多數查詢在 1–2 秒內完成；大量資料時會自動降載處理。
以圖搜圖支援嗎？,目前 Demo 未開啟；正式版可導入圖文匹配模型（如 CLIP）支援圖片上傳搜尋。
找不到結果怎麼辦？,嘗試：放寬篩選條件、改用同義詞（如「防水/防潑水」）、加入場景與材質描述；仍無法可聯繫客服協助。
